,,,Stats,,,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FGA,FT%,FTA,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
319,Jaxson Hayes,LAL,28,298,81,53,10,6,10,0,66.0,50,53.6,28,-1.22,-2.20,-1.42,-1.51,-2.11,-0.56,-1.69,0.59,-0.87
320,Ben Simmons,BKN,6,191,39,65,40,3,5,0,52.8,36,25.0,4,-1.23,-2.45,-1.26,-1.01,-2.43,-0.87,-1.69,0.19,-0.30
321,Robert Williams,POR,6,119,41,38,5,7,7,0,65.4,26,77.8,9,-1.23,-2.44,-1.63,-1.60,-2.00,-0.74,-1.69,0.35,-0.08
322,JT Thor,CHA,23,360,73,58,10,6,9,12,37.2,78,42.9,7,-1.23,-2.25,-1.35,-1.51,-2.11,-0.62,-1.25,-0.40,-0.34
323,Jaden Springer,PHI,19,172,61,26,17,10,7,5,37.9,58,75.0,16,-1.23,-2.32,-1.80,-1.40,-1.68,-0.74,-1.51,-0.24,-0.14
324,Eugene Omoruyi,WAS,16,92,75,25,10,8,1,5,60.9,46,73.7,19,-1.23,-2.24,-1.82,-1.51,-1.90,-1.11,-1.51,0.42,-0.19
325,Jared Butler,WAS,14,111,63,10,26,8,1,7,51.2,43,80.0,15,-1.24,-2.31,-2.03,-1.25,-1.90,-1.11,-1.43,0.17,-0.06
326,Caleb Houstan,ORL,21,250,77,36,9,3,1,21,40.7,59,100.0,8,-1.24,-2.22,-1.66,-1.53,-2.43,-1.11,-0.92,-0.16,0.12
327,Kevin Knox,DET,12,186,77,28,5,5,2,13,50.0,58,85.7,7,-1.24,-2.22,-1.77,-1.60,-2.21,-1.05,-1.21,0.15,-0.01
328,P.J. Tucker,LAC/PHI,15,239,20,43,8,9,3,5,31.6,19,100.0,3,-1.25,-2.56,-1.56,-1.55,-1.79,-0.99,-1.51,-0.07,0.01
329,Dru Smith,MIA,9,131,39,14,14,9,3,7,45.5,33,100.0,2,-1.25,-2.45,-1.97,-1.45,-1.79,-0.99,-1.43,0.05,-0.01
330,Taylor Hendricks,UTA,11,175,58,28,5,8,6,10,38.2,55,75.0,8,-1.26,-2.34,-1.77,-1.60,-1.90,-0.80,-1.32,-0.22,-0.10
331,Jeremiah Robinson-Earl,NOP,13,153,59,35,9,4,1,7,54.8,42,100.0,6,-1.26,-2.33,-1.68,-1.53,-2.32,-1.11,-1.43,0.25,0.08
332,Luke Kennard,MEM,8,172,66,23,16,5,1,17,36.2,58,100.0,7,-1.27,-2.29,-1.84,-1.41,-2.21,-1.11,-1.07,-0.30,0.10
333,Kris Murray,POR,15,151,37,25,7,11,2,8,34.2,38,60.0,5,-1.28,-2.46,-1.82,-1.56,-1.58,-1.05,-1.40,-0.20,-0.16
334,Wendell Carter,ORL,10,252,73,69,18,3,6,7,39.7,68,60.0,20,-1.28,-2.25,-1.20,-1.38,-2.43,-0.80,-1.43,-0.24,-0.50
335,Neemias Queta,BOS,9,135,48,54,6,5,3,0,50.0,38,76.9,13,-1.28,-2.40,-1.41,-1.58,-2.21,-0.99,-1.69,0.14,-0.10
336,Otto Porter,TOR,13,158,39,29,5,5,5,8,43.8,32,100.0,3,-1.28,-2.45,-1.76,-1.60,-2.21,-0.87,-1.40,0.02,0.01
337,Davion Mitchell,SAC,22,286,80,20,43,5,2,12,34.1,85,76.9,13,-1.28,-2.21,-1.89,-0.96,-2.21,-1.05,-1.25,-0.59,-0.10
338,Jordan Nwora,IND,10,118,68,22,11,5,1,8,48.2,56,85.7,7,-1.28,-2.28,-1.86,-1.50,-2.21,-1.11,-1.40,0.09,-0.01
339,Garrison Mathews,ATL,18,210,51,19,4,6,2,17,42.5,40,0.0,1,-1.29,-2.38,-1.90,-1.61,-2.11,-1.05,-1.07,-0.03,-0.14
340,Mike Muscala,WAS,17,215,57,47,14,4,5,7,34.6,52,77.8,18,-1.29,-2.34,-1.51,-1.45,-2.32,-0.87,-1.43,-0.30,-0.10
341,Danuel House,PHI,19,223,68,23,15,6,1,11,42.3,52,72.2,18,-1.29,-2.28,-1.84,-1.43,-2.11,-1.11,-1.29,-0.08,-0.21
342,Kobe Brown,LAC,20,216,49,31,14,5,3,10,38.8,49,50.0,2,-1.30,-2.39,-1.73,-1.45,-2.21,-0.99,-1.32,-0.16,-0.12
343,Ousmane Dieng,OKC,18,202,78,29,16,1,0,14,45.8,59,83.3,12,-1.30,-2.22,-1.76,-1.41,-2.64,-1.17,-1.18,0.01,-0.01
344,Ryan Rollins,WAS,10,66,41,11,11,8,3,2,52.0,25,76.5,17,-1.30,-2.44,-2.01,-1.50,-1.90,-0.99,-1.62,0.16,-0.12
345,Markelle Fultz,ORL,5,143,57,17,20,6,2,0,48.2,56,75.0,4,-1.31,-2.34,-1.93,-1.35,-2.11,-1.05,-1.69,0.09,-0.08
346,Bradley Beal,PHX,6,151,88,20,19,4,2,9,44.9,69,70.8,24,-1.31,-2.16,-1.89,-1.36,-2.32,-1.05,-1.36,-0.04,-0.30
347,Gradey Dick,TOR,19,235,66,22,15,6,0,11,29.4,68,100.0,15,-1.31,-2.29,-1.86,-1.43,-2.11,-1.17,-1.29,-0.63,0.27
348,Sandro Mamukelashvili,SAS,14,103,41,29,16,3,4,5,40.6,32,83.3,12,-1.31,-2.44,-1.76,-1.41,-2.43,-0.93,-1.51,-0.03,-0.01
349,Anthony Gill,WAS,20,131,49,29,10,3,6,0,50.0,38,78.6,14,-1.32,-2.39,-1.76,-1.51,-2.43,-0.80,-1.69,0.14,-0.08
350,Nick Smith,CHA,13,147,78,10,6,1,3,16,46.2,65,100.0,2,-1.32,-2.22,-2.03,-1.58,-2.64,-0.99,-1.10,0.01,-0.01
351,Wesley Matthews,ATL,18,205,40,25,12,9,3,6,25.6,39,73.7,19,-1.32,-2.44,-1.82,-1.48,-1.79,-0.99,-1.47,-0.39,-0.19
352,A.J. Lawson,DAL,13,127,56,16,7,6,1,7,50.0,44,62.5,8,-1.32,-2.35,-1.94,-1.56,-2.11,-1.11,-1.43,0.14,-0.21
353,Furkan Korkmaz,PHI,20,138,38,10,10,10,0,5,36.1,36,77.8,9,-1.32,-2.46,-2.03,-1.51,-1.68,-1.17,-1.51,-0.14,-0.08
354,Isaiah Livers,DET,14,279,62,31,16,8,2,12,27.3,77,72.7,11,-1.33,-2.31,-1.73,-1.41,-1.90,-1.05,-1.25,-0.82,-0.14
355,Theo Maledon,CHA,13,200,54,23,28,7,0,5,28.8,66,91.7,12,-1.33,-2.36,-1.84,-1.21,-2.00,-1.17,-1.51,-0.63,0.10
356,Amir Coffey,LAC,18,244,62,29,11,2,0,8,41.2,51,92.3,13,-1.33,-2.31,-1.76,-1.50,-2.53,-1.17,-1.40,-0.11,0.12
357,Jock Landale,HOU,18,163,34,37,10,5,4,2,35.1,37,75.0,8,-1.33,-2.48,-1.65,-1.51,-2.21,-0.93,-1.62,-0.17,-0.10
358,AJ Green,MIL,21,151,64,16,13,0,0,19,44.0,50,100.0,1,-1.33,-2.30,-1.94,-1.46,-2.74,-1.17,-0.99,-0.02,-0.03
359,Johnny Davis,WAS,15,134,43,19,5,7,1,1,46.3,41,80.0,5,-1.34,-2.43,-1.90,-1.60,-2.00,-1.11,-1.65,0.05,-0.05
360,Kenyon Martin,LAC/PHI,19,120,33,16,10,9,1,1,48.3,29,50.0,8,-1.34,-2.49,-1.94,-1.51,-1.79,-1.11,-1.65,0.10,-0.32
361,Oshae Brissett,BOS,14,149,46,32,7,5,0,6,50.0,30,62.5,16,-1.35,-2.41,-1.72,-1.56,-2.21,-1.17,-1.47,0.13,-0.36
362,Davis Bertans,OKC,11,82,41,10,8,2,2,9,39.1,23,93.3,15,-1.35,-2.44,-2.03,-1.55,-2.53,-1.05,-1.36,-0.01,0.16
363,Richaun Holmes,DAL,15,162,53,59,8,2,6,0,48.9,45,50.0,18,-1.35,-2.37,-1.34,-1.55,-2.53,-0.80,-1.69,0.11,-0.65
364,Cody Zeller,NOP,23,221,41,68,26,4,3,0,33.3,39,57.7,26,-1.35,-2.44,-1.22,-1.25,-2.32,-0.99,-1.69,-0.23,-0.70
365,Miles McBride,NYK,18,82,34,5,8,6,0,7,50.0,26,50.0,2,-1.35,-2.48,-2.09,-1.55,-2.11,-1.17,-1.43,0.13,-0.12
366,Amen Thompson,HOU,10,147,49,32,14,6,2,2,40.4,47,60.0,15,-1.35,-2.39,-1.72,-1.45,-2.11,-1.05,-1.62,-0.11,-0.39
367,Jalen Wilson,BKN,9,85,41,20,7,1,1,2,50.0,24,100.0,15,-1.36,-2.44,-1.89,-1.56,-2.64,-1.11,-1.62,0.13,0.27
368,Jarace Walker,IND,8,84,30,12,11,4,3,3,42.9,28,100.0,3,-1.36,-2.50,-2.00,-1.50,-2.32,-0.99,-1.58,0.02,0.01
369,Tre Mann,OKC,12,102,38,17,16,3,0,5,45.7,35,100.0,1,-1.36,-2.46,-1.93,-1.41,-2.43,-1.17,-1.51,0.05,-0.03
370,Jalen McDaniels,TOR,18,162,41,24,10,6,3,5,28.1,57,100.0,4,-1.36,-2.44,-1.83,-1.51,-2.11,-0.99,-1.51,-0.55,0.03
371,Jamal Cain,MIA,9,130,40,17,1,6,3,4,41.9,31,66.7,15,-1.37,-2.44,-1.93,-1.66,-2.11,-0.99,-1.54,-0.01,-0.28
372,Lamar Stevens,BOS,11,53,27,12,4,4,3,2,52.4,21,75.0,4,-1.37,-2.52,-2.00,-1.61,-2.32,-0.99,-1.62,0.16,-0.08
373,Dalano Banton,BOS,13,98,36,25,6,2,2,1,50.0,30,83.3,6,-1.37,-2.47,-1.82,-1.58,-2.53,-1.05,-1.65,0.13,-0.03
374,Markieff Morris,DAL,12,125,37,24,10,4,1,8,33.3,42,50.0,2,-1.38,-2.46,-1.83,-1.51,-2.32,-1.11,-1.40,-0.25,-0.12
375,Jarred Vanderbilt,LAL,10,160,15,42,6,4,3,0,28.0,25,50.0,2,-1.38,-2.59,-1.58,-1.58,-2.32,-0.99,-1.69,-0.18,-0.12
376,Jaylen Nowell,MEM,9,156,51,14,16,3,0,4,40.0,55,100.0,3,-1.38,-2.38,-1.97,-1.41,-2.43,-1.17,-1.54,-0.16,0.01
377,Jalen Pickett,DEN,12,77,28,10,8,3,0,6,47.6,21,100.0,2,-1.38,-2.52,-2.03,-1.55,-2.43,-1.17,-1.47,0.10,-0.01
378,Kira Lewis,NOP,13,131,40,11,18,5,1,2,31.9,47,88.9,9,-1.38,-2.44,-2.01,-1.38,-2.21,-1.11,-1.62,-0.33,0.03
379,Ben Sheppard,IND,12,90,41,8,8,4,0,7,44.1,34,66.7,6,-1.39,-2.44,-2.05,-1.55,-2.32,-1.17,-1.43,0.02,-0.14
380,Luka Samanic,UTA,14,93,45,30,3,1,2,5,39.1,46,100.0,4,-1.39,-2.41,-1.75,-1.63,-2.64,-1.05,-1.51,-0.14,0.03
381,Olivier-Maxence Prosper,DAL,20,185,58,38,15,2,1,6,35.3,51,69.6,23,-1.39,-2.34,-1.63,-1.43,-2.53,-1.11,-1.47,-0.28,-0.32
382,Vasilije Micic,OKC,11,138,31,5,31,4,1,5,29.7,37,66.7,6,-1.39,-2.50,-2.09,-1.16,-2.32,-1.11,-1.51,-0.28,-0.14
383,Jordan McLaughlin,MIN,11,51,10,4,12,4,3,2,30.0,10,100.0,2,-1.39,-2.62,-2.11,-1.48,-2.32,-0.99,-1.62,0.01,-0.01
384,Kessler Edwards,SAC,24,119,34,18,6,2,2,7,40.6,32,50.0,2,-1.39,-2.48,-1.91,-1.58,-2.53,-1.05,-1.43,-0.03,-0.12
385,Gabe Vincent,LAL,5,127,27,5,15,6,0,2,37.5,32,50.0,2,-1.39,-2.52,-2.09,-1.43,-2.11,-1.17,-1.62,-0.09,-0.12
386,Collin Gillespie,DEN,11,86,20,4,8,5,0,3,40.0,20,100.0,1,-1.40,-2.56,-2.11,-1.55,-2.21,-1.17,-1.58,0.02,-0.03
387,Dalen Terry,CHI,16,141,25,24,15,2,3,2,36.0,25,62.5,8,-1.40,-2.53,-1.83,-1.43,-2.53,-0.99,-1.62,-0.07,-0.21
388,Moussa Diabate,LAC,9,55,27,19,4,4,0,0,50.0,18,75.0,12,-1.40,-2.52,-1.90,-1.61,-2.32,-1.17,-1.69,0.13,-0.12
389,Olivier Sarr,OKC,7,64,18,25,2,0,5,2,54.5,11,66.7,6,-1.41,-2.57,-1.82,-1.65,-2.74,-0.87,-1.62,0.15,-0.14
390,Joe Harris,DET,12,138,28,11,9,3,2,7,32.3,31,50.0,2,-1.41,-2.52,-2.01,-1.53,-2.43,-1.05,-1.43,-0.17,-0.12
391,Mason Plumlee,LAC,6,102,30,33,6,4,1,0,63.2,19,42.9,14,-1.41,-2.50,-1.70,-1.58,-2.32,-1.11,-1.69,0.27,-0.63
392,Saben Lee,PHX,6,43,25,8,8,1,2,0,47.1,17,100.0,9,-1.41,-2.53,-2.05,-1.55,-2.64,-1.05,-1.69,0.10,0.14
393,Cory Joseph,GSW,14,144,26,12,25,4,2,4,25.7,35,57.1,7,-1.41,-2.53,-2.00,-1.26,-2.32,-1.05,-1.54,-0.34,-0.23
394,Chuma Okeke,ORL,14,76,21,18,4,2,1,5,38.1,21,0.0,0,-1.41,-2.56,-1.91,-1.61,-2.53,-1.11,-1.51,-0.01,-0.05
395,DeAndre Jordan,DEN,12,159,57,57,12,4,5,0,59.0,39,35.5,31,-1.41,-2.34,-1.37,-1.48,-2.32,-0.87,-1.69,0.33,-1.58
396,Udoka Azubuike,PHX,5,54,28,20,2,0,3,0,86.7,15,40.0,5,-1.41,-2.52,-1.89,-1.65,-2.74,-0.99,-1.69,0.43,-0.27
397,Jericho Sims,NYK,14,103,23,24,3,1,1,0,66.7,15,60.0,5,-1.42,-2.55,-1.83,-1.63,-2.64,-1.11,-1.69,0.26,-0.16
398,Damian Jones,CLE,13,69,17,14,4,2,2,1,53.8,13,66.7,3,-1.42,-2.58,-1.97,-1.61,-2.53,-1.05,-1.65,0.15,-0.10
399,Leaky Black,CHA,7,40,11,7,4,2,3,1,62.5,8,0.0,0,-1.42,-2.62,-2.07,-1.61,-2.53,-0.99,-1.65,0.18,-0.05
400,Taj Gibson,NYK,7,67,10,12,4,1,5,0,50.0,10,0.0,0,-1.42,-2.62,-2.00,-1.61,-2.64,-0.87,-1.69,0.12,-0.05
401,Nathan Mensah,CHA,5,59,8,19,1,1,3,0,50.0,6,100.0,2,-1.43,-2.63,-1.90,-1.66,-2.64,-0.99,-1.69,0.12,-0.01
402,Nikola Jovic,MIA,4,48,14,23,9,1,0,3,33.3,12,75.0,4,-1.43,-2.60,-1.84,-1.53,-2.64,-1.17,-1.58,0.01,-0.08
403,Cody Martin,CHA,2,42,13,2,2,4,1,1,46.2,13,0.0,0,-1.43,-2.60,-2.14,-1.65,-2.32,-1.11,-1.65,0.10,-0.05
404,Colby Jones,SAC,12,77,31,16,2,2,1,1,45.2,31,66.7,3,-1.43,-2.50,-1.94,-1.65,-2.53,-1.11,-1.65,0.05,-0.10
405,Alex Len,SAC,7,43,15,16,5,1,5,0,75.0,8,42.9,7,-1.43,-2.59,-1.94,-1.60,-2.64,-0.87,-1.69,0.23,-0.34
406,Reggie Bullock,HOU,12,99,21,13,4,1,1,6,35.0,20,100.0,1,-1.43,-2.56,-1.98,-1.61,-2.64,-1.11,-1.47,-0.04,-0.03
407,Kenneth Lofton,MEM,15,99,39,15,14,3,3,3,37.8,37,53.3,15,-1.43,-2.45,-1.96,-1.45,-2.43,-0.99,-1.58,-0.12,-0.50
408,Cam Whitmore,HOU,7,64,46,13,2,3,1,5,50.0,34,50.0,14,-1.43,-2.41,-1.98,-1.65,-2.43,-1.11,-1.51,0.13,-0.52
409,Armoni Brooks,BKN,8,93,37,16,5,1,1,10,31.7,41,50.0,2,-1.43,-2.46,-1.94,-1.60,-2.64,-1.11,-1.32,-0.28,-0.12
410,Harry Giles,BKN,9,50,35,14,1,1,2,1,51.9,27,66.7,9,-1.43,-2.47,-1.97,-1.66,-2.64,-1.05,-1.65,0.16,-0.19
411,Lindy Waters,OKC,9,70,26,6,6,0,1,8,40.9,22,0.0,0,-1.43,-2.53,-2.08,-1.58,-2.74,-1.11,-1.40,0.02,-0.05
412,Brandon Boston,LAC,4,41,29,6,3,1,0,3,43.5,23,100.0,6,-1.44,-2.51,-2.08,-1.63,-2.64,-1.17,-1.58,0.05,0.08
413,Svi Mykhailiuk,BOS,11,83,18,9,4,4,0,4,28.0,25,0.0,0,-1.44,-2.57,-2.04,-1.61,-2.32,-1.17,-1.54,-0.18,-0.05
414,Devonte' Graham,SAS,6,60,15,8,16,2,1,2,26.7,15,71.4,7,-1.44,-2.59,-2.05,-1.41,-2.53,-1.11,-1.62,-0.07,-0.12
415,Jermaine Samuels,HOU,6,38,12,8,2,1,1,0,71.4,7,100.0,2,-1.44,-2.61,-2.05,-1.65,-2.64,-1.11,-1.69,0.20,-0.01
416,Thanasis Antetokounmpo,MIL,13,56,8,6,7,2,1,0,44.4,9,0.0,0,-1.45,-2.63,-2.08,-1.56,-2.53,-1.11,-1.69,0.09,-0.05
417,Blake Wesley,SAS,9,51,18,5,15,3,1,0,43.8,16,50.0,8,-1.45,-2.57,-2.09,-1.43,-2.43,-1.11,-1.69,0.07,-0.32
418,AJ Griffin,ATL,12,110,30,12,4,1,0,8,29.4,34,100.0,2,-1.45,-2.50,-2.00,-1.61,-2.64,-1.17,-1.40,-0.26,-0.01
419,Moses Brown,POR,6,49,12,29,1,2,2,0,46.2,13,0.0,4,-1.45,-2.61,-1.76,-1.66,-2.53,-1.05,-1.69,0.10,-0.41
420,Dereon Seabron,NOP,5,52,14,7,4,2,1,1,30.8,13,83.3,6,-1.45,-2.60,-2.07,-1.61,-2.53,-1.11,-1.65,-0.02,-0.03
421,Patty Mills,ATL,5,47,12,5,5,1,1,4,33.3,12,0.0,0,-1.45,-2.61,-2.09,-1.60,-2.64,-1.11,-1.54,0.01,-0.05
422,Trent Forrest,ATL,8,65,10,8,12,2,0,0,20.0,15,100.0,4,-1.46,-2.62,-2.05,-1.48,-2.53,-1.17,-1.69,-0.13,0.03
423,Cole Swider,MIA,3,29,16,1,3,1,1,4,42.9,14,0.0,0,-1.46,-2.59,-2.15,-1.63,-2.64,-1.11,-1.54,0.07,-0.05
424,Garrett Temple,TOR,6,19,11,2,3,1,0,1,80.0,5,100.0,2,-1.46,-2.62,-2.14,-1.63,-2.64,-1.17,-1.65,0.20,-0.01
425,Patrick Baldwin,WAS,9,52,17,11,3,0,1,3,31.3,16,100.0,4,-1.46,-2.58,-2.01,-1.63,-2.74,-1.11,-1.58,-0.04,0.03
426,Maxi Kleber,DAL,5,90,17,21,10,1,1,3,25.0,16,60.0,10,-1.46,-2.58,-1.87,-1.51,-2.64,-1.11,-1.58,-0.10,-0.28
427,Chris Livingston,MIL,7,23,9,6,2,1,0,1,80.0,5,0.0,0,-1.46,-2.63,-2.08,-1.65,-2.64,-1.17,-1.65,0.20,-0.05
428,Keon Johnson,BKN,1,21,12,1,1,1,1,2,37.5,8,100.0,4,-1.46,-2.61,-2.15,-1.66,-2.64,-1.11,-1.62,0.07,0.03
429,James Bouknight,CHA,3,18,17,4,0,0,0,5,54.5,11,0.0,0,-1.46,-2.58,-2.11,-1.68,-2.74,-1.17,-1.51,0.15,-0.05
430,Gui Santos,GSW,4,22,13,8,1,0,0,1,57.1,7,100.0,4,-1.46,-2.60,-2.05,-1.66,-2.74,-1.17,-1.65,0.15,0.03
431,Emoni Bates,CLE,10,76,18,10,6,1,2,5,24.0,25,50.0,2,-1.47,-2.57,-2.03,-1.58,-2.64,-1.05,-1.51,-0.23,-0.12
432,Sidy Cissoko,SAS,4,24,6,4,0,2,0,0,25.0,4,100.0,4,-1.47,-2.65,-2.11,-1.68,-2.53,-1.17,-1.69,0.06,0.03
433,Colin Castleton,LAL,4,28,12,7,3,0,0,0,62.5,8,100.0,2,-1.47,-2.61,-2.07,-1.63,-2.74,-1.17,-1.69,0.18,-0.01
434,Noah Clowney,BKN,2,27,14,5,2,0,0,0,66.7,9,100.0,2,-1.47,-2.60,-2.09,-1.65,-2.74,-1.17,-1.69,0.21,-0.01
435,Terry Taylor,CHI,9,24,8,3,0,1,0,0,100.0,4,0.0,0,-1.47,-2.63,-2.12,-1.68,-2.64,-1.17,-1.69,0.23,-0.05
436,Bol Bol,PHX,8,19,6,4,0,0,3,0,60.0,5,0.0,0,-1.47,-2.65,-2.11,-1.68,-2.74,-0.99,-1.69,0.15,-0.05
437,Dexter Dennis,DAL,4,30,22,9,4,0,1,1,52.6,19,33.3,3,-1.47,-2.55,-2.04,-1.61,-2.74,-1.11,-1.65,0.15,-0.21
438,Jared Rhoden,DET,5,30,13,4,3,0,0,1,55.6,9,100.0,2,-1.47,-2.60,-2.11,-1.63,-2.74,-1.17,-1.65,0.15,-0.01
439,Leonard Miller,MIN,4,11,9,7,1,0,0,1,80.0,5,0.0,0,-1.47,-2.63,-2.07,-1.66,-2.74,-1.17,-1.65,0.20,-0.05
440,Bruno Fernando,ATL,7,33,20,12,1,0,1,0,50.0,16,66.7,6,-1.47,-2.56,-2.00,-1.66,-2.74,-1.11,-1.69,0.13,-0.14
441,Nate Hinton,HOU,5,26,12,5,1,0,0,4,44.4,9,0.0,0,-1.47,-2.61,-2.09,-1.66,-2.74,-1.17,-1.54,0.09,-0.05
442,Jordan Ford,SAC,6,22,12,2,2,0,0,2,57.1,7,100.0,2,-1.47,-2.61,-2.14,-1.65,-2.74,-1.17,-1.62,0.15,-0.01
443,Jake LaRavia,MEM,8,99,26,11,5,1,0,3,34.4,32,50.0,2,-1.47,-2.53,-2.01,-1.60,-2.64,-1.17,-1.58,-0.15,-0.12
444,Isaiah Mobley,CLE,3,14,5,2,4,1,0,1,50.0,4,0.0,0,-1.47,-2.65,-2.14,-1.61,-2.64,-1.17,-1.65,0.12,-0.05
445,Robin Lopez,MIL,8,23,8,1,2,0,1,2,40.0,5,100.0,2,-1.48,-2.63,-2.15,-1.65,-2.74,-1.11,-1.62,0.09,-0.01
446,D'Moi Hodge,LAL,7,41,14,0,5,1,1,3,33.3,15,50.0,2,-1.48,-2.60,-2.16,-1.60,-2.64,-1.11,-1.58,-0.01,-0.12
447,James Johnson,IND,3,16,2,3,4,1,0,0,50.0,2,0.0,0,-1.48,-2.67,-2.12,-1.61,-2.64,-1.17,-1.69,0.12,-0.05
448,Boban Marjanovic,HOU,3,20,10,8,3,0,1,0,55.6,9,0.0,1,-1.48,-2.62,-2.05,-1.63,-2.74,-1.11,-1.69,0.15,-0.14
449,GG Jackson,MEM,4,19,8,3,0,1,1,2,30.0,10,0.0,0,-1.48,-2.63,-2.12,-1.68,-2.64,-1.11,-1.62,0.01,-0.05
450,Josh Minott,MIN,12,31,20,3,3,0,1,0,53.3,15,66.7,6,-1.48,-2.56,-2.12,-1.63,-2.74,-1.11,-1.69,0.15,-0.14
451,Jalen Slawson,SAC,5,19,4,4,2,0,1,0,66.7,3,0.0,0,-1.48,-2.66,-2.11,-1.65,-2.74,-1.11,-1.69,0.15,-0.05
452,Markquis Nowell,TOR,1,4,2,2,2,1,0,0,0.0,1,100.0,2,-1.48,-2.67,-2.14,-1.65,-2.64,-1.17,-1.69,0.09,-0.01
453,Nate Williams,HOU,4,22,13,0,2,1,0,0,54.5,11,50.0,2,-1.49,-2.60,-2.16,-1.65,-2.64,-1.17,-1.69,0.15,-0.12
454,Maxwell Lewis,LAL,12,53,3,3,3,2,0,1,11.1,9,0.0,0,-1.49,-2.66,-2.12,-1.63,-2.53,-1.17,-1.65,-0.07,-0.05
455,Juan Toscano-Anderson,SAC,5,15,2,3,2,1,0,0,33.3,3,0.0,0,-1.49,-2.67,-2.12,-1.65,-2.64,-1.17,-1.69,0.09,-0.05
456,Ish Wainright,POR,4,11,3,2,0,1,0,1,33.3,3,0.0,0,-1.49,-2.66,-2.14,-1.68,-2.64,-1.17,-1.65,0.09,-0.05
457,Oscar Tshiebwe,IND,3,17,11,5,2,0,0,0,50.0,8,75.0,4,-1.49,-2.62,-2.09,-1.65,-2.74,-1.17,-1.69,0.12,-0.08
458,TyTy Washington,MIL,2,6,3,1,0,1,0,1,33.3,3,0.0,0,-1.49,-2.66,-2.15,-1.68,-2.64,-1.17,-1.65,0.09,-0.05
459,Ryan Arcidiacono,NYK,10,21,0,5,3,1,0,0,0.0,3,0.0,0,-1.49,-2.68,-2.09,-1.63,-2.64,-1.17,-1.69,0.03,-0.05
460,Justin Minaya,POR,6,38,7,5,0,0,1,2,33.3,6,50.0,2,-1.49,-2.64,-2.09,-1.68,-2.74,-1.11,-1.62,0.06,-0.12
461,Wendell Moore,MIN,7,19,2,1,1,1,0,0,33.3,3,0.0,0,-1.49,-2.67,-2.15,-1.66,-2.64,-1.17,-1.69,0.09,-0.05
462,Jordan Miller,LAC,3,12,5,1,0,0,0,1,66.7,3,0.0,0,-1.49,-2.65,-2.15,-1.68,-2.74,-1.17,-1.65,0.15,-0.05
463,Dominick Barlow,SAS,8,45,10,8,0,1,0,0,33.3,9,66.7,6,-1.49,-2.62,-2.05,-1.68,-2.64,-1.17,-1.69,0.04,-0.14
464,E.J. Liddell,NOP,3,9,4,2,0,0,1,0,25.0,4,100.0,2,-1.50,-2.66,-2.14,-1.68,-2.74,-1.11,-1.69,0.06,-0.01
465,Shaquille Harrison,MEM,3,6,2,2,0,0,1,0,50.0,2,0.0,0,-1.50,-2.67,-2.14,-1.68,-2.74,-1.11,-1.69,0.12,-0.05
466,Thaddeus Young,TOR,5,18,7,6,6,0,0,0,60.0,5,33.3,3,-1.50,-2.64,-2.08,-1.58,-2.74,-1.17,-1.69,0.15,-0.21
467,Lester Quinones,GSW,3,15,8,3,1,0,0,2,33.3,9,0.0,0,-1.50,-2.63,-2.12,-1.66,-2.74,-1.17,-1.62,0.04,-0.05
468,Drew Peterson,BOS,1,3,3,0,1,0,0,1,100.0,1,0.0,0,-1.50,-2.66,-2.16,-1.66,-2.74,-1.17,-1.65,0.15,-0.05
469,Danny Green,PHI,2,18,0,2,1,1,0,0,0.0,2,0.0,0,-1.50,-2.68,-2.14,-1.66,-2.64,-1.17,-1.69,0.06,-0.05
470,Usman Garuba,GSW,2,6,0,0,1,1,0,0,0.0,1,0.0,0,-1.50,-2.68,-2.16,-1.66,-2.64,-1.17,-1.69,0.09,-0.05
471,Xavier Moon,LAC,2,12,2,2,3,0,0,0,50.0,2,0.0,0,-1.50,-2.67,-2.14,-1.63,-2.74,-1.17,-1.69,0.12,-0.05
472,Ty Jerome,CLE,2,15,4,1,3,0,0,0,50.0,4,0.0,0,-1.50,-2.66,-2.15,-1.63,-2.74,-1.17,-1.69,0.12,-0.05
473,Dylan Windler,NYK,3,7,3,1,1,0,0,1,50.0,2,0.0,0,-1.50,-2.66,-2.15,-1.66,-2.74,-1.17,-1.65,0.12,-0.05
474,Trevelin Queen,ORL,1,1,0,0,0,1,0,0,0.0,1,0.0,0,-1.50,-2.68,-2.16,-1.68,-2.64,-1.17,-1.69,0.09,-0.05
475,Mouhamed Gueye,ATL,2,4,0,0,0,1,0,0,0.0,1,0.0,0,-1.50,-2.68,-2.16,-1.68,-2.64,-1.17,-1.69,0.09,-0.05
476,Joshua Primo,LAC,1,5,2,0,0,0,1,0,50.0,2,0.0,0,-1.50,-2.67,-2.16,-1.68,-2.74,-1.11,-1.69,0.12,-0.05
477,Jett Howard,ORL,9,36,14,4,3,0,0,3,31.3,16,50.0,2,-1.50,-2.60,-2.11,-1.63,-2.74,-1.17,-1.58,-0.04,-0.12
