,,,Stats,,,,,,,,,,,,Ratings,,,,,,,,
,Player,Team,G,MIN,PTS,REB,AST,STL,BLK,3PM,FG%,FGA,FT%,FTA,Overall,PTS,REB,AST,STL,BLK,3PM,FG%,FT%
69,Jalen Suggs,ORL,26,682,329,88,62,43,17,44,47.6,246,83.6,61,-0.08,-0.73,-0.94,-0.65,1.81,-0.13,-0.07,-0.09,0.18
70,Bobby Portis,MIL,31,756,399,215,37,25,16,33,51.7,317,82.6,46,-0.08,-0.31,0.84,-1.06,-0.10,-0.19,-0.48,0.59,0.07
71,Jimmy Butler,MIA,23,783,495,119,106,25,9,20,46.2,333,87.9,190,-0.09,0.26,-0.50,0.08,-0.10,-0.62,-0.95,-0.41,1.56
72,Kristaps Porzingis,BOS,21,639,411,149,36,16,38,37,53.3,261,82.1,117,-0.09,-0.24,-0.08,-1.08,-1.05,1.15,-0.33,0.72,0.19
73,Jaime Jaquez,MIA,30,868,411,118,76,31,9,33,51.6,308,85.7,70,-0.10,-0.24,-0.52,-0.42,0.54,-0.62,-0.48,0.55,0.37
74,Paolo Banchero,ORL,30,1021,636,205,138,30,17,37,46.2,496,69.1,204,-0.11,1.09,0.70,0.61,0.43,-0.13,-0.33,-0.69,-2.53
75,Jakob Poeltl,TOR,30,773,317,239,68,22,34,0,70.4,203,50.8,61,-0.11,-0.80,1.17,-0.55,-0.41,0.91,-1.69,2.54,-2.02
76,Keldon Johnson,SAS,28,912,490,178,109,24,7,54,46.5,387,76.0,100,-0.12,0.23,0.32,0.13,-0.20,-0.74,0.30,-0.44,-0.51
77,Buddy Hield,IND,29,771,385,97,80,24,20,85,43.9,321,85.7,21,-0.13,-0.40,-0.81,-0.35,-0.20,0.05,1.43,-0.81,0.07
78,Evan Mobley,CLE,21,705,336,220,61,17,35,2,57.3,248,76.9,65,-0.13,-0.69,0.91,-0.67,-0.94,0.97,-1.62,1.25,-0.29
79,Jordan Poole,WAS,29,856,516,73,104,32,9,62,41.5,441,87.1,101,-0.14,0.38,-1.15,0.05,0.65,-0.62,0.59,-1.75,0.72
80,Saddiq Bey,ATL,30,966,388,193,38,34,4,55,45.8,308,79.7,64,-0.15,-0.38,0.53,-1.05,0.86,-0.93,0.33,-0.45,-0.09
81,Zach Collins,SAS,29,775,373,175,98,18,23,34,48.6,290,81.4,70,-0.15,-0.47,0.28,-0.05,-0.84,0.23,-0.44,0.04,0.04
82,Deandre Ayton,POR,24,760,314,258,38,28,16,0,54.8,261,77.8,36,-0.16,-0.82,1.44,-1.05,0.22,-0.19,-1.69,0.95,-0.15
83,Grayson Allen,PHX,25,833,328,113,68,23,13,61,49.6,224,90.0,50,-0.17,-0.73,-0.59,-0.55,-0.31,-0.38,0.55,0.18,0.49
84,Bam Adebayo,MIA,20,677,440,198,81,23,20,1,51.1,319,79.6,142,-0.17,-0.07,0.60,-0.33,-0.31,0.05,-1.65,0.48,-0.15
85,Klay Thompson,GSW,29,886,502,113,60,14,14,95,42.6,408,90.8,65,-0.17,0.30,-0.59,-0.68,-1.26,-0.32,1.80,-1.35,0.70
86,Kyle Lowry,MIA,28,819,263,104,115,31,9,57,46.1,191,83.3,36,-0.18,-1.12,-0.71,0.23,0.54,-0.62,0.41,-0.20,0.07
87,Kelly Olynyk,UTA,29,636,228,159,132,24,9,24,54.0,150,89.4,47,-0.18,-1.33,0.06,0.51,-0.20,-0.62,-0.81,0.53,0.42
88,Deni Avdija,WAS,30,801,334,165,115,27,9,25,49.2,260,80.3,66,-0.19,-0.70,0.14,0.23,0.12,-0.62,-0.77,0.14,-0.04
89,Cole Anthony,ORL,30,755,436,135,108,22,13,41,44.7,329,83.5,121,-0.19,-0.09,-0.28,0.11,-0.41,-0.38,-0.18,-0.69,0.39
90,Matisse Thybulle,POR,29,676,176,63,35,49,26,44,44.3,140,80.0,10,-0.19,-1.64,-1.29,-1.10,2.45,0.42,-0.07,-0.26,-0.06
91,Collin Sexton,UTA,31,726,474,84,111,20,6,40,46.6,343,88.4,129,-0.20,0.13,-0.99,0.16,-0.63,-0.80,-0.22,-0.35,1.11
92,Malik Monk,SAC,28,695,393,70,144,16,16,71,42.3,307,88.6,70,-0.20,-0.35,-1.19,0.71,-1.05,-0.19,0.92,-1.04,0.59
93,Keegan Murray,SAC,25,814,394,136,43,29,10,64,44.8,324,85.1,47,-0.20,-0.34,-0.27,-0.96,0.33,-0.56,0.66,-0.67,0.20
94,Jerami Grant,POR,25,871,549,92,62,18,20,62,45.6,408,81.6,141,-0.21,0.58,-0.88,-0.65,-0.84,0.05,0.59,-0.68,0.16
95,Russell Westbrook,LAC,30,728,342,197,141,32,15,19,46.5,297,63.5,74,-0.22,-0.65,0.59,0.66,0.65,-0.25,-0.99,-0.32,-1.41
96,Naz Reid,MIN,29,642,369,131,28,21,16,54,49.5,279,92.9,42,-0.22,-0.49,-0.34,-1.21,-0.52,-0.19,0.30,0.18,0.53
97,Onyeka Okongwu,ATL,30,738,290,205,44,15,27,12,58.3,192,84.4,64,-0.22,-0.96,0.70,-0.95,-1.15,0.48,-1.25,1.11,0.24
